Terminal,Activity Period,Passenger Count
Terminal 1,201206,495371
Terminal 3,201107,701022
Terminal 3,201509,785455
International,201209,465678
Terminal 2,201302,231707
Terminal 3,200807,767543
Terminal 2,201311,267426
Terminal 2,201503,288276
Terminal 3,200701,655961
International,200908,467581
Terminal 2,201505,299777
Terminal 3,200606,792850
International,201308,552258
Terminal 2,201410,290666
Terminal 1,200903,399821
Terminal 3,201010,745217
International,201401,427891
Terminal 1,201403,512844
International,200607,347265
Terminal 1,201612,417720
Terminal 3,201009,726993
Terminal 1,201507,488807
Terminal 2,201709,411602
International,200602,294367
International,201812,653136
Terminal 1,201707,490798
International,201407,553323
Terminal 1,201006,547946
Terminal 3,201008,792594
Terminal 1,201703,398162
Terminal 1,201502,310041
Terminal 3,200809,691373
Terminal 2,201201,249715
Terminal 2,201710,421744
International,200706,387999
Terminal 1,200905,479138
Terminal 2,201312,294631
International,200901,368895
Terminal 2,201405,303088
Terminal 3,200609,735931
Terminal 3,200801,608462
Terminal 3,201202,574788
Terminal 1,201207,536384
Terminal 2,201212,279066
Terminal 1,201607,484708
International,201108,457190
Terminal 2,201504,291763
International,201512,596252
Terminal 1,201705,441448
International,201501,488159
Terminal 2,201110,272122
Terminal 3,201406,801917
Terminal 3,200711,712410
Terminal 2,201810,416057
Terminal 1,201809,386076
Terminal 3,200912,670637
Terminal 3,200707,830133
Terminal 3,201111,636987
International,201603,579171
Terminal 1,201208,540418
Terminal 3,200705,800720
Terminal 1,200812,414874
Terminal 2,201408,311519
International,201409,520797
Terminal 1,200702,268565
Terminal 2,201702,236655
Terminal 1,201104,473954
Terminal 2,201802,396489
International,200806,480472
Terminal 1,201610,449969
Terminal 3,201004,715343
Terminal 2,201412,292423
Terminal 3,201712,913435
International,201201,402049
Terminal 3,201705,879029
Terminal 1,201406,504234
International,201710,657994
Terminal 2,201407,310933
International,201709,644915
Terminal 3,200905,702025
Terminal 2,201812,419881
Terminal 1,201202,314062
Terminal 3,201207,733373
International,201005,488296
Terminal 3,201607,953273
Terminal 1,200609,335259
Terminal 1,200801,329862
International,201410,525931
Terminal 3,201104,598494
Terminal 2,201308,315631
Terminal 2,201401,248157
Terminal 1,201712,399919
Terminal 3,201610,854327
Terminal 1,201004,431335
Terminal 1,200912,451926
Terminal 1,200707,468050
Terminal 1,201111,402307
Terminal 2,201209,290109
Terminal 3,201208,763936
International,201302,355544
Terminal 1,200705,381436
Terminal 1,200711,391809
Terminal 3,201809,904583
Terminal 3,200702,627803
International,201505,643316
Terminal 3,200812,658609
International,201311,428160
International,201503,545973
International,200704,304799
Terminal 3,200903,681533
Terminal 1,200606,377636
International,201802,516611
International,200911,404429
Terminal 3,201403,643637
International,201412,533484
Terminal 3,201612,813033
Terminal 1,201009,510849
Terminal 1,201010,524219
Terminal 2,201603,325678
Terminal 3,201206,734091
International,201810,643164
Terminal 1,201107,497964
Terminal 1,201509,420271
Terminal 1,200701,277204
International,201702,520378
Terminal 1,200807,533370
International,201408,581589
Terminal 2,201409,281992
Terminal 1,200809,413262
International,201504,548110
Terminal 2,201512,317000
International,200712,403550
Terminal 2,201501,252948
Terminal 3,201502,613074
International,200605,383548
Terminal 2,201108,284713
International,200907,475210
International,201110,429551
International,200610,326429
International,201312,471580
Terminal 3,201707,1047569
International,201405,531572
Terminal 3,201507,879700
International,201212,432318
Terminal 3,201703,853260
Terminal 3,201006,780187
Terminal 1,201008,561681
International,200608,328356
Terminal 3,201704,835089
International,200804,397226
Terminal 3,201012,676682
Terminal 3,201609,848799
Terminal 2,201701,272091
International,201205,501826
International,201304,419026
Terminal 1,200803,417401
Terminal 3,201411,708729
International,201611,598590
Terminal 3,201303,590779
Terminal 3,201001,599776
Terminal 2,201806,484764
Terminal 3,200810,713790
Terminal 2,201210,290424
Terminal 1,200710,422485
Terminal 2,201708,433840
International,201605,656255
Terminal 3,201808,1118312
International,200902,315866
International,200904,395806
Terminal 3,200708,847991
Terminal 1,201402,399245
Terminal 3,201811,885918
Terminal 2,201602,270684
Terminal 3,200910,709138
International,200601,335833
International,201706,764510
Terminal 1,201511,414648
International,200603,355408
International,200611,300303
Terminal 3,201112,664745
International,201508,682979
International,201801,548500
Terminal 1,201307,543570
Terminal 2,201310,298100
Terminal 2,201305,302049
Terminal 1,201601,346398
Terminal 3,201608,964494
Terminal 3,201711,904077
Terminal 3,201804,910610
Terminal 1,201103,450286
Terminal 3,200909,708082
Terminal 1,201606,481825
Terminal 3,201211,564190
Terminal 1,201807,473254
Terminal 3,201105,614565
International,201007,516419
Terminal 2,201805,468831
International,201506,689255
International,201011,442735
Terminal 2,201510,322447
Terminal 1,201109,433636
Terminal 3,200811,615004
International,201306,552722
Terminal 1,201003,417851
Terminal 3,201204,656787
Terminal 3,200604,714467
International,201102,372101
Terminal 2,201604,321979
International,200612,326920
Terminal 3,200808,795006
Terminal 3,200906,753623
Terminal 3,201803,899534
Terminal 1,201106,467765
Terminal 1,201404,519134
International,201203,426220
International,201301,395896
International,200802,343243
Terminal 1,201309,505721
International,201310,506133
International,201305,527580
Terminal 3,201109,672006
Terminal 2,201508,328287
Terminal 2,201801,394058
Terminal 1,200604,321873
Terminal 1,200811,394523
Terminal 3,201003,710971
Terminal 1,201204,389061
International,201602,501963
Terminal 3,201103,682983
Terminal 1,200909,468664
Terminal 3,201606,927117
International,200805,456529
Terminal 1,201211,485667
Terminal 3,201807,1112605
Terminal 1,201105,461389
Terminal 2,201706,372694
Terminal 3,201106,690984
Terminal 3,201404,672349
International,201806,766742
Terminal 3,201309,623964
International,201708,729597
Terminal 2,201605,344867
International,201210,486976
Terminal 1,200808,533382
Terminal 1,200906,524985
International,201701,595123
Terminal 2,201205,308626
Terminal 2,201304,283787
Terminal 1,201803,393662
International,200703,318049
Terminal 2,201611,322080
Terminal 1,201001,372854
Terminal 2,201203,297346
Terminal 2,201301,233379
Terminal 1,200810,438684
Terminal 3,200710,762232
Terminal 1,201808,470570
International,201604,564435
Terminal 1,201704,429526
Terminal 1,201012,467797
Terminal 1,201609,434821
Terminal 1,201303,501011
International,200709,354807
Terminal 3,200803,739601
Terminal 1,201411,373018
Terminal 3,201307,693632
Terminal 1,201112,390141
International,201510,613473
Terminal 2,201306,315079
Terminal 3,201601,659869
Terminal 1,201608,485537
Terminal 1,201711,398213
Terminal 1,201804,398964
Terminal 1,200910,484810
International,201101,420240
Terminal 1,200708,473682
Terminal 3,201402,525280
Terminal 1,201811,349775
Terminal 2,201506,314489
International,201002,358584
International,201805,682674
Terminal 3,201511,747516
Terminal 1,201605,440778
International,200710,401015
Terminal 2,201803,444466
International,200803,422954
Terminal 1,201611,419945
Terminal 3,200709,726628
Terminal 1,201205,408515
Terminal 1,201304,486765
Terminal 3,201604,767291
Terminal 1,200804,410842
Terminal 2,201204,296576
International,201601,544942
International,201307,525873
Terminal 3,201510,827293
Terminal 1,201508,480013
Terminal 1,201801,319311
Terminal 1,200611,327176
Terminal 1,200603,304835
Terminal 3,201002,566379
Terminal 1,201706,480208
Terminal 3,201805,946487
International,201511,546985
Terminal 1,200601,256044
Terminal 1,200904,433149
Terminal 3,201101,599520
Terminal 2,201211,277400
Terminal 2,201105,272602
International,201402,375621
Terminal 1,200902,324707
International,201003,425540
Terminal 2,201608,351175
Terminal 2,201711,427525
Terminal 2,201804,425044
Terminal 1,201306,547839
Terminal 3,201305,641858
International,201109,419012
Terminal 3,201310,643055
Terminal 2,201112,273403
Terminal 1,201011,469505
Terminal 1,201506,466430
Terminal 3,201602,647834
Terminal 1,201007,558551
Terminal 3,200805,751337
International,201807,735708
Terminal 2,201811,422838
International,201103,438156
International,201606,728019
Terminal 2,201808,436754
International,201309,485190
Terminal 3,201708,1066468
Terminal 3,201210,624334
Terminal 1,200802,337238
International,201106,465571
International,201404,441804
Terminal 1,201203,383304
Terminal 1,201301,420882
Terminal 3,201806,1068642
Terminal 3,200703,777454
Terminal 2,201303,287915
Terminal 2,201411,277965
Terminal 1,200612,335837
Terminal 3,201701,685036
Terminal 2,201609,323052
Terminal 2,201704,317081
Terminal 1,201102,365264
Terminal 2,201511,308562
Terminal 3,201011,681692
Terminal 3,201506,840548
Terminal 1,200805,461319
International,201211,421004
International,201105,432990
Terminal 2,201402,236485
International,200909,432962
Terminal 1,201602,333392
Terminal 3,201007,784653
International,201204,428230
International,200811,381068
Terminal 3,201306,684757
Terminal 2,201601,275525
International,200604,354356
Terminal 1,201305,519148
Terminal 2,201307,301613
Terminal 1,201310,525974
Terminal 1,200703,334538
International,201803,615474
Terminal 3,201102,566372
Terminal 3,200612,730875
International,200808,463873
International,200906,467833
Terminal 1,201701,328798
Terminal 1,201210,537042
Terminal 1,201708,490483
Terminal 3,201203,641057
Terminal 3,201301,513247
Terminal 1,201806,448761
Terminal 3,200802,632340
International,201411,470955
Terminal 3,201611,798197
Terminal 1,200709,405838
International,201303,421539
Terminal 3,200804,714990
International,201012,457082
International,201609,649816
International,201704,619923
Terminal 3,201205,701316
Terminal 3,201304,590456
Terminal 1,201604,409452
Terminal 3,201605,836039
International,201808,721441
Terminal 2,201309,273776
International,200810,425826
International,201001,397845
Terminal 2,201106,287386
Terminal 2,201404,289050
Terminal 1,201002,334108
Terminal 3,201706,997669
Terminal 1,201805,417327
Terminal 3,200601,613259
Terminal 3,200603,707479
Terminal 3,200904,681763
Terminal 1,201101,399538
Terminal 2,201807,465443
International,200708,388849
International,201811,591846
Terminal 3,200902,541815
Terminal 2,201606,363076
International,200910,449052
International,201608,715558
International,201711,571691
International,201804,585409
International,201112,423133
Terminal 1,201510,453523
Terminal 3,201508,866466
Terminal 3,201801,755946
Terminal 3,200611,715422
Terminal 2,201109,267862
Terminal 3,201412,729844
International,201612,665332
Terminal 2,201712,444059
Terminal 1,201401,442521
International,201403,440736
Terminal 1,200607,416961
International,200903,383816
Terminal 3,200704,781794
Terminal 3,200911,650358
Terminal 1,201308,579224
Terminal 3,201802,719038
Terminal 1,200908,542070
Terminal 3,201702,648009
Terminal 3,201408,845772
Terminal 2,201111,262640
Terminal 1,201209,502643
International,201206,535915
Terminal 3,201810,954854
Terminal 3,200907,784331
Terminal 2,201406,312904
Terminal 3,201110,675280
Terminal 3,200610,761788
Terminal 3,201504,747369
Terminal 3,200712,695189
International,201502,453505
Terminal 3,200605,731602
Terminal 3,201212,562785
International,201703,610394
Terminal 2,201202,247841
Terminal 3,200608,819449
International,201006,521602
International,201707,727409
Terminal 3,201405,687943
Terminal 1,201407,518188
Terminal 3,201312,633523
Terminal 1,200602,241404
Terminal 1,201812,371098
International,201507,666393
Terminal 3,201710,941319
Terminal 1,201512,415344
International,201705,665023
Terminal 1,201501,333266
Terminal 3,201201,594217
Terminal 1,201108,486156
International,201207,522298
Terminal 3,201005,736614
International,201607,713919
Terminal 1,200901,349092
International,200905,420403
Terminal 1,200706,453468
Terminal 3,201709,888371
International,201610,652194
Terminal 3,201410,798974
Terminal 1,200806,505000
International,201104,386129
International,200702,266550
Terminal 3,201505,801218
Terminal 3,201311,589036
Terminal 1,201409,394537
Terminal 3,201503,757204
International,200812,426116
International,201208,533044
Terminal 3,201302,488602
Terminal 1,201603,384210
Terminal 2,201107,286882
Terminal 2,201509,302258
International,201809,635419
International,200609,300615
International,200801,374095
Terminal 2,201703,319832
Terminal 1,201005,472609
International,201202,364104
Terminal 2,201507,317681
Terminal 3,200706,832591
Terminal 1,201709,432580
Terminal 2,201707,422388
Terminal 3,200901,582369
Terminal 1,201710,419675
International,201406,566991
Terminal 2,201502,235391
Terminal 3,201108,708486
Terminal 3,201512,761362
Terminal 3,201501,663190
Terminal 1,201201,332864
Terminal 1,201311,475815
Terminal 3,201409,751507
Terminal 1,201503,410072
Terminal 1,201505,429902
International,200711,373283
Terminal 2,201206,317805
Terminal 1,201302,405200
International,200705,363256
International,200912,437424
International,200707,380765
International,201111,376620
Terminal 3,201603,782188
International,201004,425379
Terminal 2,201612,315023
International,201712,632118
Terminal 2,201403,288827
Terminal 3,200806,765639
Terminal 1,201410,419819
Terminal 1,201408,510883
International,200807,478471
Terminal 3,200908,789649
Terminal 1,201702,326292
International,200701,304110
International,201107,458183
International,201509,591866
Terminal 2,201809,382834
Terminal 1,201810,422116
Terminal 2,201208,333904
Terminal 3,201209,644361
International,201010,495412
Terminal 2,201610,329045
Terminal 1,201412,386428
International,201009,456774
Terminal 3,201401,562754
Terminal 3,200607,840132
Terminal 1,200911,444132
Terminal 3,201308,711762
Terminal 2,201104,143492
International,200606,420222
Terminal 1,201802,305275
Terminal 1,200704,356077
Terminal 1,200608,412586
International,201008,504853
Terminal 2,201207,317365
Terminal 1,201212,479108
Terminal 2,201607,365880
Terminal 3,200602,582930
Terminal 3,201812,896430
Terminal 1,201405,560401
Terminal 3,201407,820236
Terminal 1,201312,521372
Terminal 1,201110,436540
Terminal 1,200610,345772
Terminal 1,200907,548869
Terminal 1,200605,311233
Terminal 1,201504,406369
Terminal 2,201705,357216
Terminal 1,200712,392183
International,200809,402794
